track_id,artists,album_name,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,calm,energetic,happy,sad,dark,romantic,focus,hype
7AalBKBoLDR4UmRYRJpdbj,Pink Floyd,Meddle,Fearless,0.381,0.341,-15.719,0.0414,0.161,0.0403,0.448,0.178,143.756,0.322399,0.544583,0.386774,0.937626,0.850679,0.320064,0.661393,0.457783
4aY2hh55axhL2qYYqXNoOM,"""Puppy Dog Pals"" Cast",Puppy Dog Pals: Disney Junior Music,Going on a Mission,0.629,0.776,-3.839,0.047,0.021,0.0,0.093,0.957,93.937,0.164670,0.768256,0.972003,0.104310,0.645737,0.372197,0.338522,0.742877
4YZg4UXqhMoUM40aPNIX1v,Counting Crows;Vanessa Carlton,OO's Music Grandi Successi,Big Yellow Taxi,0.674,0.867,-4.329,0.0462,0.00199,0.0,0.206,0.821,88.04,0.071815,0.829346,0.934995,0.120920,0.782686,0.176584,0.303930,0.819564
5x2STIzWAYohcaKuxohIGa,Atitude 67,Atitude 67 (Ao Vivo),Vou Te Escrever Um Rap - Ao Vivo,0.712,0.823,-6.298,0.0859,0.561,0.0,0.767,0.765,161.885,0.217333,0.955252,0.824828,0.296712,0.633250,0.572669,0.356435,0.922566
7nZ9CzhiFRPhOQCn7eDSnn,L'Impératrice,Vanille fraise,Vanille fraise,0.767,0.547,-11.458,0.0474,0.0399,0.485,0.0949,0.66,103.03,0.400962,0.711949,0.870434,0.156414,0.665956,0.383230,0.664049,0.727821
4hR3hQKELrARHNZJ51D14s,Rezz;Grabbitz,Someone Else,Someone Else,0.644,0.349,-5.315,0.0364,0.206,3.36e-05,0.125,0.246,94.971,0.701552,0.701670,0.494362,0.629945,0.833073,0.344179,0.493731,0.426564
6YQKDQPqKDDAHm9v0O2GgI,KDrew,Sometimes,Sometimes,0.671,0.648,-6.779,0.108,0.176,0.0,0.0982,0.462,142.917,0.260339,0.929556,0.629074,0.616728,0.804004,0.211688,0.549445,0.823011
1UeNDtSqYRs8ELLsyFA5kg,Chas & Dave,Gertcha! The EMI Years,Gertcha - 2005 Remaster,0.738,0.942,-6.058,0.0441,0.197,0.0,0.0996,0.977,139.193,0.123981,0.950327,0.970233,0.048777,0.802654,0.268905,0.283659,0.906668
0lxuHPUmNOiHLfzvJojYb1,Antonio Carlos & Jocafi,20 Super Sucessos Antônio Carlos e Jocafi,Desacato,0.722,0.534,-10.955,0.0718,0.241,1.36e-05,0.142,0.936,80.01,0.306342,0.589967,0.957411,0.098936,0.606755,0.623958,0.626649,0.605074
1v99T074mOWHXN6mP74IIV,DJ Skull,The Internet Server 211,Get Em,0.784,0.407,-16.57,0.107,0.000916,0.932,0.0967,0.6,136.973,0.209761,0.764027,0.760856,0.182034,0.590984,0.291582,0.937076,0.721005
2pfvK4mEji3KYxoJqEwzDV,Feid,Verano en Junio,Belixe,0.876,0.673,-7.15,0.139,0.0524,0.00571,0.0813,0.462,113.995,0.274816,0.876099,0.843554,0.420697,0.879182,0.219766,0.337123,0.773470
15csY1XlzsXBq2MxI5qgEY,Bruno & Marrone,Acústico,Favo de Mel,0.611,0.298,-11.2,0.0575,0.695,1.65e-06,0.101,0.507,80.08,0.629719,0.329762,0.519374,0.694619,0.651219,0.746900,0.780804,0.570208
6LssIlr2Gax7Rl3a8v8mDj,El Soldado;Sergio Dawi,Tren de Fugitivos,Veneno Sabor Miel,0.699,0.571,-7.792,0.0289,0.216,0.0033,0.0548,0.827,117.143,0.123054,0.783971,0.812244,0.229065,0.758580,0.225443,0.699518,0.775218
5nZVdhUh4Oz9LMQyneMpD5,David Arnold,Casino Royale [International Version],The Name's Bond... James Bond,0.264,0.57,-6.304,0.0338,0.21,0.706,0.0783,0.105,136.545,0.437737,0.741109,0.427511,0.787528,0.866776,0.156374,0.908584,0.503197
